,,1958-1962,1963-1967,1968-1972,1973-1977,1978-1982,1983-1987,1988-1992,1993-1997,1998-2002,2003-2007,2008-2012,2013-2017
Central African Republic,Total exploitable water resources (10^9 m3/year),,,,,,,,,,,,
Central African Republic,Total water withdrawal (10^9 m3/year),,,,,,0.0194,,,0.0662,0.0725,,
Central African Republic,Agricultural water withdrawal as % of total water withdrawal (%),,,,,,2062,,,0.6042,0.5517,,
Central African Republic,Industrial water withdrawal as % of total water withdrawal (%),,,,,,20.62,,,16.62,16.55,,
Central African Republic,Municipal water withdrawal as % of total withdrawal (%),,,,,,77.32,,,82.78,82.9,,
Central African Republic,Total freshwater withdrawal (primary and secondary) (10^9 m3/year),,,,,,0.0194,,,0.0662,0.0725,,
Central African Republic,MDG 7.5. Freshwater withdrawal as % of total renewable water resources (%),,,,,,0.0138,,,47,0.0514,,
Central African Republic,Agricultural water withdrawal as % of total renewable water resources (%),,,,,,3.0E-4,,,3.0E-4,3.0E-4,,
Central African Republic,SDG 6.4.2. Water Stress (%),,,,,,0.0187,,,0.0638,0.0698,,
Central African Republic,Total population with access to safe drinking-water (JMP) (%),,,,,,,58.8,61.1,63.4,65.7,68.2,68.5
Central African Republic,Rural population with access to safe drinking-water (JMP) (%),,,,,,,46.4,48.4,50.4,52.4,54.4,54.4
Central African Republic,Urban population with access to safe drinking-water (JMP) (%),,,,,,,80.0,82.4,84.8,87.2,89.6,89.6
,,,,,,,,,,,,,
,,1958-1962,1963-1967,1968-1972,1973-1977,1978-1982,1983-1987,1988-1992,1993-1997,1998-2002,2003-2007,2008-2012,2013-2017
Chad,Total population (1000 inhab),3122.0,3436.0,3816.0,4255.0,4716.0,5409.0,6350.0,7494.0,9002.0,10780.0,12715.0,14037.0
Chad,Population density (inhab/km2),2431,2676,2972,3314,3673,4213,4945,5836,7011,8396,9903,10.93
Chad,GDP per capita (current US$/inhab),114.6,130.9,153.4,219.8,176.9,215.1,296.4,206.1,220.8,801.4,972.7,775.7
Chad,Human Development Index (HDI) [highest = 1] (-),,,,,,,,,0.3319,,0.3857,0.3919
Chad,Long-term average annual precipitation in depth (mm/year),322.0,322.0,322.0,322.0,322.0,322.0,322.0,322.0,322.0,322.0,322.0,322.0
Chad,Surface water produced internally (10^9 m3/year),13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
Chad,Groundwater produced internally (10^9 m3/year),11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5
Chad,Total internal renewable water resources per capita (m3/inhab/year),4805.0,4366.0,3931.0,3525.0,3181.0,2773.0,2362.0,2002.0,1666.0,1391.0,1180.0,1069.0
Chad,Surface water: entering the country (total) (10^9 m3/year),30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7
Chad,Surface water: leaving the country to other countries (total) (10^9 m3/year),10.15,10.15,10.15,10.15,10.15,10.15,10.15,10.15,10.15,10.15,10.15,10.15
Chad,Water resources: total external renewable (10^9 m3/year),30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7
Chad,Dependency ratio (%),67.18,67.18,67.18,67.18,67.18,67.18,67.18,67.18,67.18,67.18,67.18,67.18
Chad,Total renewable water resources per capita (m3/inhab/year),14638.0,13300.0,11976.0,10740.0,9690.0,8449.0,7197.0,6098.0,5077.0,4239.0,3594.0,3256.0
Chad,Total exploitable water resources (10^9 m3/year),,,,,,,,,,,,
Chad,Total water withdrawal (10^9 m3/year),,,,,,181,,,0.8492,0.8796,,
Chad,Agricultural water withdrawal as % of total water withdrawal (%),,,,,,81.77,,,79.16,76.42,,
Chad,Industrial water withdrawal as % of total water withdrawal (%),,,,,,2.21,,,10.42,11.79,,
Chad,Municipal water withdrawal as % of total withdrawal (%),,,,,,16.02,,,10.42,11.79,,
Chad,Total freshwater withdrawal (primary and secondary) (10^9 m3/year),,,,,,181,,,0.8492,0.8796,,
Chad,MDG 7.5. Freshwater withdrawal as % of total renewable water resources (%),,,,,,0.3961,,,1858,1925,,
Chad,Agricultural water withdrawal as % of total renewable water resources (%),,,,,,0.3239,,,1471,1471,,
Chad,SDG 6.4.2. Water Stress (%),,,,,,0.5019,,,2355,2439,,
Chad,Total population with access to safe drinking-water (JMP) (%),,,,,,,40.8,43.3,45.7,48.2,50.7,50.8
Chad,Rural population with access to safe drinking-water (JMP) (%),,,,,,,37.9,39.6,41.3,43.0,44.8,44.8
Chad,Urban population with access to safe drinking-water (JMP) (%),,,,,,,51.4,56.5,61.6,66.7,71.8,71.8
,,,,,,,,,,,,,
,,1958-1962,1963-1967,1968-1972,1973-1977,1978-1982,1983-1987,1988-1992,1993-1997,1998-2002,2003-2007,2008-2012,2013-2017
Chile,Total population (1000 inhab),8054.0,8995.0,9917.0,10746.0,11569.0,12507.0,13567.0,14594.0,15545.0,16463.0,17388.0,17948.0
Chile,Population density (inhab/km2),10.65,11.9,13.12,14.21,15.3,16.54,17.94,19.3,20.56,21.77,23.0,23.74
Chile,GDP per capita (current US$/inhab),683.2,768.6,1163.0,1243.0,2104.0,1671.0,3278.0,5674.0,4566.0,10508.0,15240.0,13372.0
Chile,Human Development Index (HDI) [highest = 1] (-),,,,,,,0.6992,,0.7525,,0.8267,0.8322
Chile,Long-term average annual precipitation in depth (mm/year),1522.0,1522.0,1522.0,1522.0,1522.0,1522.0,1522.0,1522.0,1522.0,1522.0,1522.0,1522.0
Chile,Surface water produced internally (10^9 m3/year),885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0
Chile,Groundwater produced internally (10^9 m3/year),140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0
Chile,Total internal renewable water resources per capita (m3/inhab/year),109883.0,98388.0,89241.0,82356.0,76498.0,70760.0,65232.0,60641.0,56931.0,53757.0,50897.0,49309.0
Chile,Surface water: entering the country (total) (10^9 m3/year),38.06,38.06,38.06,38.06,38.06,38.06,38.06,38.06,38.06,38.06,38.06,38.06
Chile,Surface water: leaving the country to other countries (total) (10^9 m3/year),3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15
Chile,Water resources: total external renewable (10^9 m3/year),38.06,38.06,38.06,38.06,38.06,38.06,38.06,38.06,38.06,38.06,38.06,38.06
Chile,Dependency ratio (%),4123,4123,4123,4123,4123,4123,4123,4123,4123,4123,4123,4123
Chile,Total renewable water resources per capita (m3/inhab/year),114614.0,102624.0,93083.0,85902.0,79791.0,73807.0,68040.0,63252.0,59382.0,56071.0,53088.0,51432.0
Chile,Total exploitable water resources (10^9 m3/year),,,,,,,,,,,,
Chile,Total water withdrawal (10^9 m3/year),,,,,,,20.29,,,35.43,,
Chile,Agricultural water withdrawal as % of total water withdrawal (%),,,,,,,,,,83.04,,
Chile,Industrial water withdrawal as % of total water withdrawal (%),,,,,,,10.9,,,13.39,,
Chile,Municipal water withdrawal as % of total withdrawal (%),,,,,,,5397,,,3576,,
Chile,Total freshwater withdrawal (primary and secondary) (10^9 m3/year),,,,,,,20.29,,,35.36,,
Chile,MDG 7.5. Freshwater withdrawal as % of total renewable water resources (%),,,,,,,2198,,,3831,,
Chile,Agricultural water withdrawal as % of total renewable water resources (%),,,,,,,1.84,,,3187,,
Chile,SDG 6.4.2. Water Stress (%),,,,,,,3154,,,5497,,
Chile,Total population with access to safe drinking-water (JMP) (%),,,,,,,91.3,93.6,95.6,97.3,98.7,99.0
Chile,Rural population with access to safe drinking-water (JMP) (%),,,,,,,52.1,61.9,71.7,81.5,91.3,93.3
Chile,Urban population with access to safe drinking-water (JMP) (%),,,,,,,99.0,99.2,99.3,99.5,99.6,99.7
,,,,,,,,,,,,,
,,1958-1962,1963-1967,1968-1972,1973-1977,1978-1982,1983-1987,1988-1992,1993-1997,1998-2002,2003-2007,2008-2012,2013-2017
China,Total population (1000 inhab),680242.0,761820.0,869313.0,958194.0,1029247.0,1118196.0,1215354.0,1275559.0,1313904.0,1349939.0,1386350.0,1407306.0
China,Population density (inhab/km2),70.86,79.36,90.55,99.81,107.2,116.5,126.6,132.9,136.9,140.6,144.4,146.6
China,GDP per capita (current US$/inhab),68.63,94.59,128.8,179.5,198.2,242.4,349.7,751.0,1111.0,2608.0,6102.0,7745.0
China,Human Development Index (HDI) [highest = 1] (-),,,,,,,0.5006,,0.5876,,718,0.7275
China,Long-term average annual precipitation in depth (mm/year),645.0,645.0,645.0,645.0,645.0,645.0,645.0,645.0,645.0,645.0,645.0,645.0
China,Surface water produced internally (10^9 m3/year),2712.0,2712.0,2712.0,2712.0,2712.0,2712.0,2712.0,2712.0,2712.0,2712.0,2712.0,2712.0
China,Groundwater produced internally (10^9 m3/year),828.8,828.8,828.8,828.8,828.8,828.8,828.8,828.8,828.8,828.8,828.8,828.8
China,Total internal renewable water resources per capita (m3/inhab/year),4135.0,3692.0,3236.0,2936.0,2733.0,2516.0,2315.0,2205.0,2141.0,2084.0,2029.0,1999.0
China,Surface water: entering the country (total) (10^9 m3/year),17.17,17.17,17.17,17.17,17.17,17.17,17.17,17.17,17.17,17.17,17.17,17.17
China,Surface water: leaving the country to other countries (total) (10^9 m3/year),718.8,718.8,718.8,718.8,718.8,718.8,718.8,718.8,718.8,718.8,718.8,718.8
China,Water resources: total external renewable (10^9 m3/year),27.32,27.32,27.32,27.32,27.32,27.32,27.32,27.32,27.32,27.32,27.32,27.32
China,Dependency ratio (%),0.9619,0.9619,0.9619,0.9619,0.9619,0.9619,0.9619,0.9619,0.9619,0.9619,0.9619,0.9619
China,Total renewable water resources per capita (m3/inhab/year),4175.0,3728.0,3267.0,2964.0,2759.0,2540.0,2337.0,2226.0,2161.0,2104.0,2049.0,2018.0
China,Total exploitable water resources (10^9 m3/year),,,,,,,,,,,,
China,Total water withdrawal (10^9 m3/year),,,,,443.7,481.1,500.0,525.4,549.8,571.3,603.3,598.1
China,Agricultural water withdrawal as % of total water withdrawal (%),,,,,88.17,86.3,83.0,77.6,68.83,63.01,64.31,64.4
China,Industrial water withdrawal as % of total water withdrawal (%),,,,,10.31,7518,10.0,17.62,20.72,24.56,23.6,22.32
China,Municipal water withdrawal as % of total withdrawal (%),,,,,1526,6171,7.0,4789,10.46,12.43,12.08,13.28
China,Total freshwater withdrawal (primary and secondary) (10^9 m3/year),,,,,443.7,481.1,500.0,525.4,549.8,571.3,599.8,594.2
China,MDG 7.5. Freshwater withdrawal as % of total renewable water resources (%),,,,,15.62,16.94,17.61,18.5,19.36,20.12,21.12,20.92
China,Agricultural water withdrawal as % of total renewable water resources (%),,,,,13.77,14.62,14.61,14.36,13.32,12.68,13.66,13.56
China,SDG 6.4.2. Water Stress (%),,,,,21.94,23.79,24.72,25.98,27.18,28.25,29.66,29.38
China,Total population with access to safe drinking-water (JMP) (%),,,,,,,69.8,76.5,82.8,88.5,93.2,95.5
China,Rural population with access to safe drinking-water (JMP) (%),,,,,,,59.0,66.4,73.8,81.2,88.5,93.0
China,Urban population with access to safe drinking-water (JMP) (%),,,,,,,97.1,97.2,97.3,97.4,97.5,97.5
,,,,,,,,,,,,,
,,1958-1962,1963-1967,1968-1972,1973-1977,1978-1982,1983-1987,1988-1992,1993-1997,1998-2002,2003-2007,2008-2012,2013-2017
Colombia,Total population (1000 inhab),17500.0,20311.0,23147.0,25905.0,29027.0,32324.0,35559.0,38645.0,41572.0,44375.0,46881.0,48229.0
Colombia,Population density (inhab/km2),15.33,17.79,20.27,22.69,25.42,28.31,31.14,33.85,36.41,38.87,41.06,42.24
Colombia,GDP per capita (current US$/inhab),283.9,282.0,374.6,751.6,1342.0,1125.0,1386.0,2769.0,2356.0,4665.0,7892.0,6054.0
Colombia,Human Development Index (HDI) [highest = 1] (-),,,,,,,596,,0.6542,,715,0.7202
Colombia,Long-term average annual precipitation in depth (mm/year),3240.0,3240.0,3240.0,3240.0,3240.0,3240.0,3240.0,3240.0,3240.0,3240.0,3240.0,3240.0
Colombia,Surface water produced internally (10^9 m3/year),2145.0,2145.0,2145.0,2145.0,2145.0,2145.0,2145.0,2145.0,2145.0,2145.0,2145.0,2145.0
Colombia,Groundwater produced internally (10^9 m3/year),510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0
Colombia,Total internal renewable water resources per capita (m3/inhab/year),122571.0,105608.0,92669.0,82803.0,73897.0,66359.0,60322.0,55505.0,51597.0,48338.0,45754.0,44475.0
Colombia,Surface water: entering the country (total) (10^9 m3/year),215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0
Colombia,Surface water: leaving the country to other countries (total) (10^9 m3/year),1375.0,1375.0,1375.0,1375.0,1375.0,1375.0,1375.0,1375.0,1375.0,1375.0,1375.0,1375.0
Colombia,Water resources: total external renewable (10^9 m3/year),215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0
Colombia,Dependency ratio (%),9.11,9.11,9.11,9.11,9.11,9.11,9.11,9.11,9.11,9.11,9.11,9.11
Colombia,Total renewable water resources per capita (m3/inhab/year),134857.0,116193.0,101957.0,91102.0,81304.0,73011.0,66369.0,61069.0,56769.0,53183.0,50340.0,48933.0
Colombia,Total exploitable water resources (10^9 m3/year),,,,,,,,,,,,
Colombia,Total water withdrawal (10^9 m3/year),,,,,,,,,7746,,11.77,
Colombia,Agricultural water withdrawal as % of total water withdrawal (%),,,,,,,,,63.52,,54.3,
Colombia,Industrial water withdrawal as % of total water withdrawal (%),,,,,,,,,4635,,19.05,
Colombia,Municipal water withdrawal as % of total withdrawal (%),,,,,,,,,31.85,,26.63,
Colombia,Total freshwater withdrawal (primary and secondary) (10^9 m3/year),,,,,,,,,7746,,11.77,
Colombia,MDG 7.5. Freshwater withdrawal as % of total renewable water resources (%),,,,,,,,0.42,0.3282,,0.4987,
Colombia,Agricultural water withdrawal as % of total renewable water resources (%),,,,,,,,0.15,0.2085,,0.2708,
Colombia,SDG 6.4.2. Water Stress (%),,,,,,,,,0.5632,,0.8558,
Colombia,Total population with access to safe drinking-water (JMP) (%),,,,,,,88.8,89.5,90.1,90.7,91.2,91.4
Colombia,Rural population with access to safe drinking-water (JMP) (%),,,,,,,69.2,70.3,71.4,72.5,73.6,73.8
Colombia,Urban population with access to safe drinking-water (JMP) (%),,,,,,,97.4,97.3,97.1,97.0,96.9,96.8
,,,,,,,,,,,,,
,,1958-1962,1963-1967,1968-1972,1973-1977,1978-1982,1983-1987,1988-1992,1993-1997,1998-2002,2003-2007,2008-2012,2013-2017
Comoros,Total population (1000 inhab),195.0,214.0,237.8,275.5,328.4,379.6,440.2,506.5,575.4,649.4,733.7,788.5
Comoros,Population density (inhab/km2),104.8,115.0,127.8,148.0,176.5,204.0,236.5,272.2,309.2,349.0,394.3,423.7
Comoros,GDP per capita (current US$/inhab),,,,,326.1,517.5,604.7,418.8,428.8,712.1,750.3,791.1
Comoros,Human Development Index (HDI) [highest = 1] (-),,,,,,,,,,,0.4986,0.5032
Comoros,Long-term average annual precipitation in depth (mm/year),900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
Comoros,Surface water produced internally (10^9 m3/year),0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Comoros,Groundwater produced internally (10^9 m3/year),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Comoros,Total internal renewable water resources per capita (m3/inhab/year),6154.0,5607.0,5046.0,4356.0,3654.0,3161.0,2726.0,2369.0,2086.0,1848.0,1636.0,1522.0
Comoros,Surface water: entering the country (total) (10^9 m3/year),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Comoros,Surface water: leaving the country to other countries (total) (10^9 m3/year),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Comoros,Water resources: total external renewable (10^9 m3/year),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Comoros,Dependency ratio (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Comoros,Total renewable water resources per capita (m3/inhab/year),6154.0,5607.0,5046.0,4356.0,3654.0,3161.0,2726.0,2369.0,2086.0,1848.0,1636.0,1522.0
Comoros,Total exploitable water resources (10^9 m3/year),1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,
Comoros,Total water withdrawal (10^9 m3/year),,,,,,,,,0.01,,,
Comoros,Agricultural water withdrawal as % of total water withdrawal (%),,,,,,,,,47.0,,,
Comoros,Industrial water withdrawal as % of total water withdrawal (%),,,,,,,,,5.0,,,
Comoros,Municipal water withdrawal as % of total withdrawal (%),,,,,,,,,48.0,,,
Comoros,Total freshwater withdrawal (primary and secondary) (10^9 m3/year),,,,,,,,,0.01,,,
Comoros,MDG 7.5. Freshwater withdrawal as % of total renewable water resources (%),,,,,,,,,0.8333,,,
Comoros,Agricultural water withdrawal as % of total renewable water resources (%),,,,,,,,,0.3917,,,
Comoros,SDG 6.4.2. Water Stress (%),,,,,,,,,1168,,,
Comoros,Total population with access to safe drinking-water (JMP) (%),,,,,,,90.1,90.1,90.1,90.1,90.1,90.1
Comoros,Rural population with access to safe drinking-water (JMP) (%),,,,,,,87.9,88.2,88.5,88.8,89.0,89.1
Comoros,Urban population with access to safe drinking-water (JMP) (%),,,,,,,95.6,94.9,94.2,93.5,92.9,92.6
,,,,,,,,,,,,,
,,1958-1962,1963-1967,1968-1972,1973-1977,1978-1982,1983-1987,1988-1992,1993-1997,1998-2002,2003-2007,2008-2012,2013-2017
Congo,Total population (1000 inhab),1068.0,1224.0,1419.0,1651.0,1911.0,2202.0,2515.0,2874.0,3257.0,3716.0,4286.0,4620.0
Congo,Population density (inhab/km2),3123,3579,4149,4827,5588,6439,7354,8404,9523,10.87,12.53,13.51
Congo,GDP per capita (current US$/inhab),155.9,194.0,289.4,463.5,1131.0,1043.0,1166.0,808.2,927.2,2259.0,3191.0,1851.0
Congo,Human Development Index (HDI) [highest = 1] (-),,,,,,,0.5338,,0.4892,,0.5749,0.5906
Congo,Long-term average annual precipitation in depth (mm/year),1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0
Congo,Surface water produced internally (10^9 m3/year),222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0
Congo,Groundwater produced internally (10^9 m3/year),122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0
Congo,Total internal renewable water resources per capita (m3/inhab/year),207865.0,181373.0,156448.0,134464.0,116170.0,100817.0,88270.0,77244.0,68161.0,59742.0,51797.0,48052.0
Congo,Surface water: entering the country (total) (10^9 m3/year),52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
Congo,Surface water: leaving the country to other countries (total) (10^9 m3/year),197.0,197.0,197.0,197.0,197.0,197.0,197.0,197.0,197.0,197.0,197.0,197.0
Congo,Water resources: total external renewable (10^9 m3/year),610.0,610.0,610.0,610.0,610.0,610.0,610.0,610.0,610.0,610.0,610.0,610.0
Congo,Dependency ratio (%),73.32,73.32,73.32,73.32,73.32,73.32,73.32,73.32,73.32,73.32,73.32,73.32
Congo,Total renewable water resources per capita (m3/inhab/year),779026.0,679739.0,586328.0,503937.0,435374.0,377838.0,330815.0,289492.0,255450.0,223897.0,194120.0,180087.0
Congo,Total exploitable water resources (10^9 m3/year),,,,,,,,,,,,
Congo,Total water withdrawal (10^9 m3/year),,,,,,0.04,,,46,,,
Congo,Agricultural water withdrawal as % of total water withdrawal (%),,,,,,11.0,,,8696,,,
Congo,Industrial water withdrawal as % of total water withdrawal (%),,,,,,27.0,,,21.74,,,
Congo,Municipal water withdrawal as % of total withdrawal (%),,,,,,62.0,,,69.57,,,
Congo,Total freshwater withdrawal (primary and secondary) (10^9 m3/year),,,,,,0.04,,,46,,,
Congo,MDG 7.5. Freshwater withdrawal as % of total renewable water resources (%),,,,,,0.0048,,,0.0055,,,
Congo,Agricultural water withdrawal as % of total renewable water resources (%),,,,,,5.0E-4,,,5.0E-4,,,
Congo,SDG 6.4.2. Water Stress (%),,,,,,0.0079,,,0.0091,,,
Congo,Total population with access to safe drinking-water (JMP) (%),,,,,,,,68.3,70.1,72.8,75.3,76.5
Congo,Rural population with access to safe drinking-water (JMP) (%),,,,,,,,32.1,32.7,35.8,38.8,40.0
Congo,Urban population with access to safe drinking-water (JMP) (%),,,,,,,95.3,95.3,95.3,95.5,95.7,95.8
,,,,,,,,,,,,,
,,1958-1962,1963-1967,1968-1972,1973-1977,1978-1982,1983-1987,1988-1992,1993-1997,1998-2002,2003-2007,2008-2012,2013-2017
Cook Islands,Total population (1000 inhab),18.52,19.98,21.42,19.18,17.43,17.68,17.91,18.09,18.31,19.86,20.52,20.83
Cook Islands,Population density (inhab/km2),77.17,83.25,89.25,79.92,72.62,73.67,74.62,75.38,76.29,82.75,85.5,86.79
Cook Islands,GDP per capita (current US$/inhab),,,,,,,,,,,,
Cook Islands,Human Development Index (HDI) [highest = 1] (-),,,,,,,,,,,,
Cook Islands,Long-term average annual precipitation in depth (mm/year),,,,,,,,,,,,
Cook Islands,Surface water produced internally (10^9 m3/year),,,,,,,,,,,,
Cook Islands,Groundwater produced internally (10^9 m3/year),,,,,,,,,,,,
Cook Islands,Total internal renewable water resources per capita (m3/inhab/year),,,,,,,,,,,,
Cook Islands,Surface water: entering the country (total) (10^9 m3/year),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cook Islands,Surface water: leaving the country to other countries (total) (10^9 m3/year),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cook Islands,Water resources: total external renewable (10^9 m3/year),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cook Islands,Dependency ratio (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cook Islands,Total renewable water resources per capita (m3/inhab/year),,,,,,,,,,,,
Cook Islands,Total exploitable water resources (10^9 m3/year),,,,,,,,,,,,
Cook Islands,Total water withdrawal (10^9 m3/year),,,,,,,,,,,,
Cook Islands,Agricultural water withdrawal as % of total water withdrawal (%),,,,,,,,,,,,
Cook Islands,Industrial water withdrawal as % of total water withdrawal (%),,,,,,,,,,,,
Cook Islands,Municipal water withdrawal as % of total withdrawal (%),,,,,,,,,,,,
Cook Islands,Total freshwater withdrawal (primary and secondary) (10^9 m3/year),,,,,,,,,,,,
Cook Islands,MDG 7.5. Freshwater withdrawal as % of total renewable water resources (%),,,,,,,,,,,,
Cook Islands,Agricultural water withdrawal as % of total renewable water resources (%),,,,,,,,,,,,
Cook Islands,SDG 6.4.2. Water Stress (%),,,,,,,,,,,,
Cook Islands,Total population with access to safe drinking-water (JMP) (%),,,,,,,99.9,99.9,99.9,99.9,99.9,99.9
Cook Islands,Rural population with access to safe drinking-water (JMP) (%),,,,,,,99.9,99.9,99.9,99.9,99.9,99.9
Cook Islands,Urban population with access to safe drinking-water (JMP) (%),,,,,,,99.9,99.9,99.9,99.9,99.9,99.9
,,,,,,,,,,,,,
,,1958-1962,1963-1967,1968-1972,1973-1977,1978-1982,1983-1987,1988-1992,1993-1997,1998-2002,2003-2007,2008-2012,2013-2017
Costa Rica,Total population (1000 inhab),1433.0,1695.0,1947.0,2208.0,2521.0,2872.0,3257.0,3683.0,4063.0,4369.0,4654.0,4808.0
Costa Rica,Population density (inhab/km2),28.04,33.17,38.1,43.21,49.33,56.2,63.74,72.07,79.51,85.5,91.08,94.09
Costa Rica,GDP per capita (current US$/inhab),334.4,412.7,636.0,1391.0,1034.0,2034.0,2632.0,3483.0,4146.0,6025.0,9734.0,10630.0
Costa Rica,Human Development Index (HDI) [highest = 1] (-),,,,,,,0.6516,,0.7038,,0.7608,0.7657
Costa Rica,Long-term average annual precipitation in depth (mm/year),2926.0,2926.0,2926.0,2926.0,2926.0,2926.0,2926.0,2926.0,2926.0,2926.0,2926.0,2926.0
Costa Rica,Surface water produced internally (10^9 m3/year),113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0
Costa Rica,Groundwater produced internally (10^9 m3/year),37.31,37.31,37.31,37.31,37.31,37.31,37.31,37.31,37.31,37.31,37.31,37.31
Costa Rica,Total internal renewable water resources per capita (m3/inhab/year),78856.0,66667.0,58038.0,51178.0,44823.0,39345.0,34695.0,30682.0,27812.0,25864.0,24280.0,23502.0
Costa Rica,Surface water: entering the country (total) (10^9 m3/year),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Costa Rica,Surface water: leaving the country to other countries (total) (10^9 m3/year),9655,9655,9655,9655,9655,9655,9655,9655,9655,9655,9655,9655
Costa Rica,Water resources: total external renewable (10^9 m3/year),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Costa Rica,Dependency ratio (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Costa Rica,Total renewable water resources per capita (m3/inhab/year),78856.0,66667.0,58038.0,51178.0,44823.0,39345.0,34695.0,30682.0,27812.0,25864.0,24280.0,23502.0
Costa Rica,Total exploitable water resources (10^9 m3/year),,,,,,,,,,,,
Costa Rica,Total water withdrawal (10^9 m3/year),,,,,,,,,,,,2.35
Costa Rica,Agricultural water withdrawal as % of total water withdrawal (%),,,,,,,,,,,,56.6
Costa Rica,Industrial water withdrawal as % of total water withdrawal (%),,,,,,,,,,,,11.06
Costa Rica,Municipal water withdrawal as % of total withdrawal (%),,,,,,,,,,,,32.34
Costa Rica,Total freshwater withdrawal (primary and secondary) (10^9 m3/year),,,,,,,,,,,,2347
Costa Rica,MDG 7.5. Freshwater withdrawal as % of total renewable water resources (%),,,,,,,,,,,,2077
Costa Rica,Agricultural water withdrawal as % of total renewable water resources (%),,,,,,,,,,,,1177
Costa Rica,SDG 6.4.2. Water Stress (%),,,,,,,,,,,,3065
Costa Rica,Total population with access to safe drinking-water (JMP) (%),,,,,,,93.3,94.4,95.5,96.6,97.5,97.8
Costa Rica,Rural population with access to safe drinking-water (JMP) (%),,,,,,,87.0,88.1,89.3,90.5,91.7,91.9
Costa Rica,Urban population with access to safe drinking-water (JMP) (%),,,,,,,99.2,99.3,99.4,99.5,99.5,99.6
,,,,,,,,,,,,,
,,1958-1962,1963-1967,1968-1972,1973-1977,1978-1982,1983-1987,1988-1992,1993-1997,1998-2002,2003-2007,2008-2012,2013-2017
Côte d'Ivoire,Total population (1000 inhab),3740.0,4591.0,5748.0,7237.0,9002.0,10940.0,13047.0,15296.0,17185.0,18862.0,21103.0,22702.0
Côte d'Ivoire,Population density (inhab/km2),11.6,14.24,17.83,22.44,27.92,33.93,40.46,47.44,53.29,58.49,65.44,70.4
Côte d'Ivoire,GDP per capita (current US$/inhab),172.5,235.9,321.7,865.7,840.6,922.1,854.8,766.4,718.5,1079.0,1281.0,1399.0
Côte d'Ivoire,Human Development Index (HDI) [highest = 1] (-),,,,,,,0.3888,,0.3977,,0.4521,0.4622
Côte d'Ivoire,Long-term average annual precipitation in depth (mm/year),1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0,1348.0
Côte d'Ivoire,Surface water produced internally (10^9 m3/year),74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0
