series,series_code,name,code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Armed forces personnel (% of total labor force),arms_pers,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armed forces personnel (% of total labor force),arms_pers,Dominican Republic,DOM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.747299846,0.728208365,0.742829668,0.724541744,0.707713628,1.240214472,1.21035772,1.180589906,1.15180095,1.124582054,1.099292862,1.074068293,1.050309283,1.02931006,0.995723749,0.998798445,1.587620274,1.552776855,0.957468759,0.948710546,0.911476691,0.87531794,1.321821496,1.297634349,1.477090135,1.444669171,1.419830911,..
Armed forces personnel (% of total labor force),arms_pers,Early-demographic dividend,EAR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.92799781,0.910738981,0.864796753,0.841985008,0.813549236,1.142370142,1.160285113,1.160475964,1.130540679,1.110742302,1.104243962,1.02222531,1.01136361,0.984805653,0.966146641,1.000255291,0.994294444,0.95081255,0.938619361,0.937789556,0.91792328,0.893422069,0.886287651,0.868152835,0.860207681,0.843089078,0.843238566,..
Armed forces personnel (% of total labor force),arms_pers,East Asia & Pacific,EAS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.885420888,0.85302751,0.813426395,0.784814189,0.740271791,0.916060144,0.898497904,0.849201392,0.858581907,0.845057896,0.841311957,0.812586288,0.809048661,0.799195619,0.776269203,0.783503454,0.763703473,0.696284631,0.69130662,0.697619668,0.696225802,0.703387834,0.701466926,0.697968186,0.685914003,0.672735584,0.664792612,..
Armed forces personnel (% of total labor force),arms_pers,East Asia & Pacific (excluding high income),EAP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.827206285,0.782260719,0.74267663,0.703202743,0.659188835,0.869985966,0.849834627,0.784216862,0.79471372,0.781078758,0.780282732,0.750487406,0.747045472,0.743288897,0.716417794,0.725935339,0.708364064,0.635304569,0.630698032,0.641128947,0.640224316,0.648759749,0.647380015,0.644373948,0.641186341,0.626903368,0.619088929,..
Armed forces personnel (% of total labor force),arms_pers,East Asia & Pacific (IDA & IBRD countries),TEA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.695280801,0.652183003,0.614615873,0.5881488,0.545838757,0.745883927,0.73593096,0.663332196,0.675893164,0.663939276,0.665030797,0.633543483,0.631472816,0.629056303,0.595354832,0.611641269,0.594885552,0.521835542,0.518102936,0.521727473,0.521516066,0.531185632,0.53053362,0.52810391,0.525517519,0.511257503,0.495808028,..
Armed forces personnel (% of total labor force),arms_pers,Ecuador,ECU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.322658894,1.277669069,1.329147529,1.285900886,1.242624641,1.211924663,1.176217939,1.142230721,1.072991073,1.048560582,1.032660294,1.045850396,1.024011179,0.985246186,0.742600198,0.739414384,0.863318095,0.869570655,0.861941476,0.86376809,0.876287771,0.868154396,0.83507283,0.832460644,0.565395676,0.534244131,0.509226815,..
Armed forces personnel (% of total labor force),arms_pers,Egypt,EGY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.749288748,2.680892446,2.557736529,2.490474961,2.409866374,3.413008621,3.693213747,3.677915029,3.622048796,3.407307653,3.317975451,3.688191989,3.645076497,3.533523923,3.476507501,3.353588476,3.51793258,3.359336772,3.260446172,3.166395685,2.966664597,2.931413657,2.867785315,2.799528808,2.787496947,2.777834299,2.742144216,..
Armed forces personnel (% of total labor force),arms_pers,El Salvador,SLV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.8690438,3.051950298,2.430359053,2.346653385,1.391887892,1.776779294,1.880241639,1.86152125,1.616482111,1.604618495,1.259698696,1.256507772,1.254094859,1.156601778,0.637577274,0.66755897,1.142992902,1.318413158,1.303763451,1.269679545,1.257285972,1.226779029,1.20322509,1.178155322,1.502407654,1.493071071,1.482239203,..
Armed forces personnel (% of total labor force),arms_pers,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.669285805,0.648041941,0.628942684,0.608520504,0.587526806,0.90523338,0.877524941,0.864262736,0.819046937,0.784159969,0.748615062,0.724568768,0.998047299,0.538188623,0.395950221,0.376389819,..,0.342515019,0.325885757,0.406686919,0.383063931,0.366846014,0.350938761,0.333800317,0.317525228,0.30126944,0.318475534,..
Armed forces personnel (% of total labor force),arms_pers,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.023900506,4.082926464,4.116338195,4.05353317,3.317919434,3.305986995,13.60281415,13.14272872,10.85413657,10.4233881,11.71998972,11.20766805,10.86708001,..,10.35058243,10.14088297,9.942562298,9.763314039,9.582697851,9.405752264,9.227843342,9.046720088,8.859043074,8.637408649,..
Armed forces personnel (% of total labor force),arms_pers,Estonia,EST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.399160698,0.682866071,0.557917406,0.780869548,0.792559737,0.905867433,1.048857054,1.128060048,1.118820175,1.091105843,1.237257016,1.195046312,0.884624344,1.187236025,1.009484831,1.011522688,1.00310964,0.789297988,0.840671543,0.836012207,0.839761771,0.844420948,0.850503646,0.93270939,0.922044056,..
Armed forces personnel (% of total labor force),arms_pers,Ethiopia,ETH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.241800577,0.57680278,0.557337902,0.538355786,0.520074778,0.498470443,0.480024155,0.46273852,0.446376345,1.168024086,1.21572446,0.839897423,0.809136675,0.501140635,0.540958992,0.524093554,..,0.372197244,0.360854173,0.349509751,0.338255382,0.326920132,0.315942471,0.305333384,0.295703588,0.286474755,0.277881838,..
Armed forces personnel (% of total labor force),arms_pers,Euro area,EMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.848051444,1.725827991,1.60715014,1.528470089,1.52502184,1.670694594,1.651145136,1.551036359,1.49944786,1.418341894,1.279306195,1.284805127,1.279561508,1.220495301,1.179205388,1.175733558,1.123730526,1.101860969,1.088435819,0.9924519,1.013432576,0.97125853,0.948439679,0.935486483,0.918217771,0.907925466,0.902826174,..
Armed forces personnel (% of total labor force),arms_pers,Europe & Central Asia,ECS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.866360168,1.656723726,1.652745443,1.977410223,1.92108356,1.934013199,1.88012313,1.758899852,1.657200468,1.583846467,1.538302626,1.488651473,1.410893074,1.439510952,1.321324903,1.302630984,1.289151517,1.250211848,1.234052123,1.17517726,1.172822019,1.111953048,1.132622891,1.157615897,1.148208971,..
Armed forces personnel (% of total labor force),arms_pers,Europe & Central Asia (excluding high income),ECA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.312008637,1.91657136,1.924846761,2.482381213,2.412473165,2.54582607,2.483797346,2.282874236,2.202802063,2.067980432,2.001676042,1.944517929,1.877376102,1.875464132,1.746950929,1.743952479,1.728554544,1.722344016,1.673425014,1.582351386,1.571488261,1.45448148,1.512909242,1.579007874,1.564673373,..
Armed forces personnel (% of total labor force),arms_pers,Europe & Central Asia (IDA & IBRD countries),TEC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.236452339,1.875053203,1.882116491,2.416114913,2.337877895,2.456373808,2.398620486,2.217900892,2.130324773,1.998888836,1.918367513,1.866964329,1.795078526,1.79146548,1.669449182,1.664417043,1.649561897,1.631726788,1.586226041,1.501710744,1.517244694,1.410444188,1.463151036,1.524384613,1.51372955,..
Armed forces personnel (% of total labor force),arms_pers,European Union,EUU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.694632433,1.631117989,1.550988446,1.478051983,1.468926221,1.700523187,1.653411878,1.570462935,1.528874685,1.454364987,1.34535586,1.268619048,1.243384316,1.185479932,1.111496197,1.112823591,1.038517302,1.006734342,0.996805035,0.924874621,0.93370744,0.892593158,0.896655108,0.881433914,0.872087098,0.86261936,0.852390237,..
Armed forces personnel (% of total labor force),arms_pers,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armed forces personnel (% of total labor force),arms_pers,Fiji,FJI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.856244965,1.824504556,1.800737582,1.768140235,1.390356487,1.329914203,1.215079132,1.206264534,1.165117061,1.159869829,1.157013319,1.138833574,1.125224643,1.114046535,0.945486405,1.247446633,1.247602264,1.244547327,1.213227823,1.035037498,1.010238041,0.991951026,0.974808172,0.959011834,0.944544446,0.941305564,0.934429731,..
Armed forces personnel (% of total labor force),arms_pers,Finland,FIN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.181878523,1.239611475,1.300910953,1.232774953,1.403067667,1.393920245,1.464911106,1.373855137,1.391529668,1.367747044,1.357268696,1.357256318,1.330314903,1.148465273,1.18694771,1.179651394,1.202511596,1.189427034,1.177143118,0.93147158,0.932183684,0.928648241,0.92615026,0.931006463,0.929823609,0.923913326,0.900566315,..
Armed forces personnel (% of total labor force),arms_pers,Fragile and conflict affected situations,FCS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.131999583,2.076487251,1.850309645,1.887252121,1.746687688,2.521637036,2.567283185,2.466355095,2.431749156,2.354507904,2.43270096,2.110145921,2.120410323,2.141733269,1.655816579,1.696120084,..,1.765123481,1.912654145,2.015039123,2.14377968,2.088279049,2.021381691,1.533548912,1.442325041,1.423659966,1.334618572,..
Armed forces personnel (% of total labor force),arms_pers,France,FRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.105062925,2.086470658,1.994640607,1.925402304,1.920804764,1.897703435,1.833171129,1.767258318,1.678068963,1.509731773,1.417050421,1.358543508,1.296598897,1.265977433,1.249089613,1.240318648,1.216915831,1.203613527,1.195368607,1.148867635,1.145194004,1.112809287,1.082018641,1.053200902,1.033572664,1.012223637,1.009075349,..
Armed forces personnel (% of total labor force),arms_pers,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armed forces personnel (% of total labor force),arms_pers,Gabon,GAB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.422274444,3.71924187,2.538273539,2.477060649,2.070300504,3.195006373,3.111438631,3.029017992,2.944722902,2.851508448,1.949397142,1.891367741,1.831311602,1.771142017,1.53038581,1.720662701,..,1.580927688,1.50973998,1.379094573,1.317090527,1.26129993,1.206077189,1.153758066,1.105398967,1.061900898,1.030640797,..
Armed forces personnel (% of total labor force),arms_pers,Gambia,GMB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.70721858,0.683751333,0.331959023,0.323139364,0.313958928,0.243690696,0.237236667,0.230453244,0.223416882,0.216208035,0.208932382,0.202498836,0.19588111,0.189237585,0.182710974,0.176354791,..,0.206209802,0.199225412,0.153873378,0.148467628,0.143465076,0.138549251,0.134156833,0.129817655,0.125654187,0.121727804,..
Armed forces personnel (% of total labor force),arms_pers,Georgia,GEO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.00314345,0.281552141,0.579742793,0.640682027,1.714447412,1.730303125,1.457073849,1.538047803,1.265211954,1.338520559,1.31863745,1.019315094,1.075414116,1.554761528,1.566344664,1.577816474,1.55982737,1.550158441,1.545186065,1.538122862,1.573616555,1.586632073,1.265645049,1.280239201,..
Armed forces personnel (% of total labor force),arms_pers,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.401748214,1.141442197,1.108224045,1.003497137,0.906842977,0.917258485,0.96317093,0.8668112,0.832193299,0.821508798,0.549280429,0.764574724,0.731700902,0.699736363,0.700180356,0.690724697,0.591209266,0.582497775,0.582399116,0.599344657,0.59848822,0.470027994,0.445972773,0.430174962,0.420656416,0.41443708,0.41297912,..
Armed forces personnel (% of total labor force),arms_pers,Ghana,GHA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.144967105,0.140736116,0.106198503,0.103030813,0.099997814,0.177626228,0.195847043,0.105244712,0.102537351,0.099857042,0.097169289,0.082518308,0.079978081,0.077450652,0.074991703,0.072623193,..,0.136359276,0.132153979,0.141798321,0.137432657,0.133473593,0.129639798,0.125948576,0.122759491,0.119680399,0.116778158,..
Armed forces personnel (% of total labor force),arms_pers,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armed forces personnel (% of total labor force),arms_pers,Greece,GRC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.787625916,4.923796444,4.858920768,4.932181349,4.65481181,4.467833041,4.30919002,3.58528262,3.617454122,3.50281361,3.34746777,3.387910102,3.728830264,3.692013682,3.334642563,3.35636975,3.188932779,3.185596198,3.17766022,2.789719633,2.906829818,2.918541127,2.923591969,2.987363423,2.982808509,2.99354722,2.96385806,..
Armed forces personnel (% of total labor force),arms_pers,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armed forces personnel (% of total labor force),arms_pers,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armed forces personnel (% of total labor force),arms_pers,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armed forces personnel (% of total labor force),arms_pers,Guatemala,GTM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.378263439,1.342138595,1.338717004,1.305715085,0.983163612,1.58950309,1.549457306,1.346825772,1.067098479,1.029209675,1.29424248,1.195745708,1.159966251,1.12577573,1.039134903,0.978369075,0.673231378,0.661665984,0.650151095,0.624839279,0.614981298,0.747771799,0.673348684,0.707618424,0.69228602,0.675750978,0.650981122,..
Armed forces personnel (% of total labor force),arms_pers,Guinea,GIN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.673913483,0.640140114,0.604808957,0.571628478,0.434584684,0.669843739,0.64983887,0.635004404,0.623199422,0.612496775,0.601434218,0.529962486,0.58091044,0.363226479,0.318472997,0.368714726,..,0.516297894,0.504701695,0.500489079,0.488668338,0.304378748,0.29734845,0.290216792,0.28292597,0.275554918,0.268462294,..
Armed forces personnel (% of total labor force),arms_pers,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.994953503,2.926607988,2.619715023,2.55770532,1.589402771,2.041001954,2.028707299,1.984024846,1.948143577,1.92385267,1.887642639,2.242828902,2.189977654,2.684157798,1.657995962,1.615021857,1.574120067,1.532992555,0.994507006,1.040872541,1.011466313,0.982520279,0.954286002,0.926539096,0.899730918,0.603048035,0.586641707,..
Armed forces personnel (% of total labor force),arms_pers,Guyana,GUY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.416821927,1.404006332,0.695507025,0.689857372,0.692683873,1.079898559,1.085323969,1.092006862,1.100996935,1.113113918,1.127727919,1.138906136,1.152343532,1.157269143,0.747535003,1.121365374,1.107984134,1.094271489,1.082434612,0.928438794,0.919091655,0.382189948,0.375239642,0.368124439,1.116701919,1.097237865,1.081191091,..
Armed forces personnel (% of total labor force),arms_pers,Haiti,HTI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.293975307,0.289024337,0.284516067,0.280187389,..,0.237154766,0.23309185,0.179875997,0.170147466,0.166977886,0.163838394,0.249965517,0.155386761,0.151200734,..,..,0.141917745,..,..,..,0,0.001153217,0.001123683,0.002627547,0.002562757,0.002503004,0.004076735,..
Armed forces personnel (% of total labor force),arms_pers,Heavily indebted poor countries (HIPC),HPC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.745697212,0.61418808,0.573074083,0.578064253,0.531200634,0.974910304,0.965331979,0.938222151,0.898340614,0.971724874,1.009887769,0.705594318,0.729686601,0.676738718,0.583974975,0.577463198,..,0.55497065,0.558615411,0.606825155,0.608304137,0.646849645,0.633686485,0.608863228,0.575157757,0.55915182,0.505160246,..
Armed forces personnel (% of total labor force),arms_pers,High income,HIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.649800666,1.612736326,1.502022892,1.464013868,1.420611602,1.444085509,1.40762257,1.3762569,1.364185778,1.324713255,1.246057789,1.221610058,1.207519692,1.178214293,1.134764015,1.168520834,1.098788716,1.0866002,1.069830027,1.039036127,1.038056684,1.010419802,1.001446677,0.981265532,0.946154995,0.930914968,0.925920208,..
Armed forces personnel (% of total labor force),arms_pers,Honduras,HND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.022899306,0.93261321,0.899597509,0.867408454,0.838078336,1.154691612,1.113588298,1.072304192,0.607727575,0.586311632,0.579181151,0.5726409,0.564500944,0.700896914,0.768432781,0.758403969,0.710077995,0.67818818,0.648038372,0.619715761,0.598592171,0.594434017,0.591362558,0.554862286,0.487840892,0.458977927,0.540044798,..
Armed forces personnel (% of total labor force),arms_pers,Hong Kong SAR,HKG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armed forces personnel (% of total labor force),arms_pers,Hungary,HUN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.087500469,1.92771426,1.721833019,1.482110133,1.409570088,1.74526078,1.914322194,1.847294785,1.741250218,1.570319891,1.389229386,1.15254847,1.142125467,1.122852633,1.09470117,1.029638857,1.022168512,0.863018245,0.868768523,0.977461971,0.8044145,0.89203007,0.881249461,0.874774746,0.850711604,0.834032693,0.849321237,..
Armed forces personnel (% of total labor force),arms_pers,IBRD only,IBD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.872324781,0.785317607,0.856105774,0.793515264,0.766942626,1.048022002,1.033103083,0.997864225,0.985779923,0.944585796,0.932232031,0.892829332,0.869986568,0.854373552,0.819894627,0.840781944,0.825759278,0.775243043,0.779192013,0.785923413,0.781663872,0.777338815,0.778411747,0.734337077,0.741206217,0.741513707,0.738448247,..
Armed forces personnel (% of total labor force),arms_pers,Iceland,ISL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.064473285,0.065057999,0.078085855,0.075531553,0.060968175,0.059088734,0.058262496,0.058421794,0.058097988,..,..,0.071537056,0.069398846,0.068436541,0.069266468,0.06890155,0.095793597,0.095104747,0.103472003,0.100612732,0.123132086,0.120091269,..
Armed forces personnel (% of total labor force),arms_pers,IDA & IBRD total,IBT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.891009643,0.809397943,0.856639445,0.802860656,0.76805859,1.082551605,1.069862395,1.036632021,1.021003864,0.990454327,0.979060464,0.918081419,0.901973819,0.883587367,0.844122313,0.858003603,0.860299567,0.796152106,0.797278747,0.805368994,0.80558077,0.796635833,0.793723338,0.752832546,0.751242347,0.748650226,0.738805421,..
Armed forces personnel (% of total labor force),arms_pers,IDA blend,IDB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.94739453,0.941108034,0.860926596,0.855959206,0.792770731,1.131035519,1.087222642,1.085037991,1.071322919,1.04989803,1.044612487,1.068160913,1.037271914,1.000007083,0.971934192,0.956802932,1.044096223,0.899527314,0.877216243,0.851265529,0.856532317,0.822194654,0.799832475,0.777168309,0.745348344,0.747892116,0.724670014,..
Armed forces personnel (% of total labor force),arms_pers,IDA only,IDX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.999310122,0.92485121,0.858686804,0.848371522,0.765321154,1.304639088,1.318076028,1.282290471,1.238429406,1.272929969,1.267886291,1.024811313,1.056232761,1.025305552,0.941595484,0.925015143,..,0.880365855,0.872449846,0.901100243,0.922561974,0.895898493,0.877234113,0.844559662,0.807370486,0.786366432,0.746798323,..
Armed forces personnel (% of total labor force),arms_pers,IDA total,IDA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.984385734,0.929544635,0.85937147,0.85064224,0.77371988,1.252824728,1.24907044,1.223213027,1.188479968,1.206286366,1.199991931,1.038239802,1.050443576,1.017564126,0.95086805,0.934730727,..,0.886262709,0.873916662,0.885790045,0.902516631,0.873508564,0.85368063,0.82401876,0.788726962,0.774751537,0.740087694,..
Armed forces personnel (% of total labor force),arms_pers,India,IND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.384600819,0.378755083,0.369884653,0.360957688,0.351856894,0.583752174,0.592381824,0.58371843,0.580707259,0.569003014,0.584926524,0.56419206,0.556751379,0.547489388,0.577080463,0.653645077,0.554192937,0.550280303,0.550529986,0.558838183,0.55791033,0.558843485,0.572293713,0.565890503,0.555535665,0.555499726,0.581367457,..
Armed forces personnel (% of total labor force),arms_pers,Indonesia,IDN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.387740267,0.365788622,0.358094623,0.333742942,0.335662499,0.537308647,0.551734314,0.536197556,0.533030045,0.515067702,0.496877107,0.488062783,0.480020554,0.477484231,0.551087883,0.543418224,0.533646949,0.524443543,0.516029664,0.506417339,0.497482907,0.5700541,0.562801351,0.556098584,0.549715051,0.551058436,0.538746896,..
Armed forces personnel (% of total labor force),arms_pers,Iran,IRN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.090981205,3.231322902,3.616349434,3.56894933,3.517659818,4.996527642,5.508357928,5.294646789,4.76992555,4.351862967,3.968589432,2.764431633,2.654070323,2.605431948,1.960052177,2.369099075,2.366705526,2.278774045,2.34991543,2.284949799,2.285558582,2.276978546,2.268454918,2.260930585,2.255557465,2.170651283,2.072500179,..
Armed forces personnel (% of total labor force),arms_pers,Iraq,IRQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.69700033,11.48803974,9.551802216,9.190028796,9.234848276,8.534445277,8.719139287,8.616964544,9.039941254,8.773292267,8.51828898,8.088807135,7.286416904,7.09773349,2.867680726,3.401388576,6.970178759,4.811143352,7.254623062,8.061908197,9.549018334,9.260391974,9.021148094,1.926707859,2.172646608,2.093417923,2.042015694,..
Armed forces personnel (% of total labor force),arms_pers,Ireland,IRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.964623545,0.942550803,0.945367915,0.922106147,1.174930575,0.876357505,0.83424257,0.810949737,0.699588277,0.669956639,0.647573935,0.577476121,0.561792342,0.543227597,0.507552379,0.481597671,0.463332342,0.446081862,0.440487884,0.467104417,0.473011655,0.406328127,0.429350491,0.427466872,0.417107265,0.415427233,0.4052259,..
Armed forces personnel (% of total labor force),arms_pers,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armed forces personnel (% of total labor force),arms_pers,Israel,ISR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.05431447,9.384115557,8.515867743,8.057203474,7.875587849,7.314793214,7.301406579,7.153061692,7.013092656,6.727278995,6.519882028,6.049483007,5.925361421,5.97001687,5.845593303,5.704395626,5.834935049,5.672586292,5.56123202,5.410282968,5.280788888,5.208997806,5.066731184,4.96827708,4.848268892,4.758808374,4.662452349,..
Armed forces personnel (% of total labor force),arms_pers,Italy,ITA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.061146912,1.963250524,2.018465228,1.939567808,1.895014872,2.55776158,2.528598431,2.524356301,2.392437049,2.236648769,2.156007521,2.057470006,1.986390422,1.890804087,1.811736035,1.823550022,1.800303981,1.78562733,1.762867976,1.33354413,1.469766376,1.503960668,1.440171144,1.434288635,1.403990646,1.40819148,1.394808023,..
